                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.68483,                 1.0887,                0.67323,                 1.0143,                 0.5955,                0.55556,                0.55823,                0.33616,                 0.5955,                0.55556,                  0.552,                0.43372,                 1.0793,                 1.6243,                 1.8658,                  1.261,             0.00041275,             0.00041275,             0.00041275
                     78,                0.65248,                 1.1069,                0.66108,                0.99562,                0.66704,                 0.5964,                0.58529,                 0.3719,                0.60944,                0.66517,                0.53403,                0.40519,                 1.1208,                 1.5812,                 1.8058,                 1.2723,             0.00039625,             0.00039625,             0.00039625
                     79,                0.64051,                 0.9506,                0.58172,                0.97606,                0.69999,                0.55556,                0.56282,                0.39066,                0.62929,                    0.5,                0.52465,                 0.4144,                 1.1316,                 1.6043,                 1.8684,                  1.316,             0.00037974,             0.00037974,             0.00037974
                     80,                0.67069,                0.93746,                0.63206,                0.96797,                0.70351,                0.55556,                0.54244,                0.36511,                 0.6805,                    0.5,                0.49985,                0.42239,                 1.1761,                 1.6197,                 1.9605,                 1.3506,             0.00036324,             0.00036324,             0.00036324
                     81,                0.66505,                0.79664,                 0.6495,                  1.024,                0.70351,                0.55556,                0.54244,                0.36511,                 0.6805,                    0.5,                0.49985,                0.42239,                 1.1761,                 1.6197,                 1.9605,                 1.3506,             0.00034674,             0.00034674,             0.00034674
                     82,                0.66257,                0.95646,                0.63152,                0.97067,                0.71127,                0.55556,                0.56045,                 0.4005,                0.64217,                    0.5,                0.49935,                0.42988,                 1.1974,                 1.6268,                 2.0182,                 1.3991,             0.00033023,             0.00033023,             0.00033023
                     83,                0.67711,                 1.0587,                0.63383,                 1.0201,                0.74892,                0.55556,                0.59376,                0.44437,                0.67194,                    0.5,                0.52855,                0.44716,                 1.1959,                 1.6005,                 1.7597,                 1.3651,             0.00031373,             0.00031373,             0.00031373
                     84,                0.64104,                0.87751,                0.66513,                 1.0097,                   0.76,                0.59986,                0.57427,                0.43791,                0.65705,                    0.5,                0.48115,                0.40744,                 1.0454,                 1.5509,                 1.7054,                 1.2564,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.6307,                0.93592,                 0.6211,                0.99775,                   0.76,                0.59986,                0.57427,                0.43791,                0.65705,                    0.5,                0.48115,                0.40744,                 1.0454,                 1.5509,                 1.7054,                 1.2564,             0.00028072,             0.00028072,             0.00028072
                     86,                0.63558,                 0.9389,                0.62388,                0.99569,                0.75649,                0.61072,                0.57415,                0.42059,                0.67206,                0.55556,                0.49285,                0.40898,                 1.0362,                 1.4807,                 1.8412,                 1.2635,             0.00026422,             0.00026422,             0.00026422
                     87,                0.59565,                0.91088,                0.64602,                0.98579,                0.64912,                0.54452,                0.52731,                0.39602,                0.57602,                0.49352,                0.48367,                0.39816,                 1.1999,                  1.466,                 1.9213,                  1.354,             0.00024772,             0.00024772,             0.00024772
                     88,                0.59316,                0.85047,                 0.5977,                 0.9647,                0.60587,                0.55028,                0.51862,                0.41261,                0.60587,                0.55028,                0.51862,                0.41323,                  1.138,                 1.4309,                 1.8853,                 1.3251,             0.00023121,             0.00023121,             0.00023121
                     89,                0.61643,                 1.0219,                0.60994,                 1.0083,                0.60587,                0.55028,                0.51862,                0.41261,                0.60587,                0.55028,                0.51862,                0.41323,                  1.138,                 1.4309,                 1.8853,                 1.3251,             0.00021471,             0.00021471,             0.00021471
                     90,                0.58607,                0.83825,                0.64017,                0.95757,                0.60446,                0.55556,                0.54126,                0.42279,                0.60446,                0.55556,                0.54126,                0.42653,                 1.2229,                 1.4445,                 1.9453,                 1.3522,             0.00019821,             0.00019821,             0.00019821
