                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.90935,                0.96756,                 1.2025,                0.59232,                 0.5593,                0.56752,                0.37717,                 1.0985,                 1.5027,                 1.3192,              0.0010481,              0.0010481,              0.0010481
                     77,                0.99028,                 1.0051,                 1.3262,                0.55345,                0.74637,                0.68416,                0.49237,                0.91745,                 1.2339,                 1.1876,              0.0010399,              0.0010399,              0.0010399
                     78,                0.99857,                0.95805,                 1.2429,                0.55483,                 0.7657,                0.63671,                0.45845,                0.88849,                 1.2825,                  1.202,              0.0010316,              0.0010316,              0.0010316
                     79,                0.94028,                0.96479,                 1.2261,                 0.6179,                0.76416,                0.74318,                0.54751,                0.90956,                 1.0661,                 1.1968,              0.0010234,              0.0010234,              0.0010234
                     80,                0.92909,                0.96439,                 1.2312,                0.54421,                0.72913,                0.68508,                 0.5017,                0.91648,                 1.3711,                 1.1816,              0.0010151,              0.0010151,              0.0010151
                     81,                0.91679,                  0.965,                 1.1969,                0.53141,                  0.767,                0.67892,                0.51597,                0.89317,                 1.1828,                 1.1883,              0.0010069,              0.0010069,              0.0010069
                     82,                0.97954,                 1.1306,                 1.3287,                0.54761,                0.51143,                0.49933,                0.34574,                 1.0575,                 1.7528,                 1.3252,             0.00099862,             0.00099862,             0.00099862
                     83,                0.92383,                0.97844,                 1.2065,                0.64501,                0.65557,                0.66849,                0.50543,                0.88387,                 1.1284,                 1.1602,             0.00099036,             0.00099036,             0.00099036
                     84,                0.94938,                  1.063,                 1.2459,                0.67132,                0.74046,                0.74321,                0.54014,                0.91379,                 1.1364,                  1.192,             0.00098211,             0.00098211,             0.00098211
                     85,                 0.9169,                0.96702,                 1.2202,                0.61971,                0.67924,                0.68141,                0.48847,                0.93671,                 1.3825,                 1.2218,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.1078,                 1.0857,                 1.4119,                0.61666,                0.67118,                0.64334,                0.44747,                0.95321,                 1.5612,                 1.2133,             0.00096561,             0.00096561,             0.00096561
                     87,                0.95666,                0.97258,                 1.2419,                0.58748,                 0.7779,                0.70153,                0.50081,                0.90413,                 1.2397,                 1.1998,             0.00095736,             0.00095736,             0.00095736
                     88,                0.94072,                0.93092,                 1.2181,                0.61155,                0.66256,                 0.6381,                0.45317,                0.94037,                 1.3992,                 1.2242,             0.00094911,             0.00094911,             0.00094911
                     89,                0.92211,                0.93443,                  1.217,                0.61006,                0.64763,                0.57285,                0.38903,                0.96317,                 1.6121,                 1.2079,             0.00094085,             0.00094085,             0.00094085
                     90,                0.92754,                0.91753,                 1.2221,                0.63057,                0.80934,                0.75785,                0.55586,                0.87786,                0.98754,                 1.1693,              0.0009326,              0.0009326,              0.0009326
                     91,                0.96509,                0.94428,                  1.219,                0.64726,                0.78635,                0.75402,                0.54298,                0.99219,                 1.0395,                 1.2303,             0.00092435,             0.00092435,             0.00092435
                     92,                0.93852,                0.96785,                 1.2284,                0.51174,                0.65425,                0.63257,                0.45661,                0.94792,                 1.7156,                 1.2124,              0.0009161,              0.0009161,              0.0009161
                     93,                0.96693,                0.93113,                 1.2393,                0.46213,                0.71128,                0.47899,                0.33673,                0.96758,                 1.4396,                 1.2051,             0.00090785,             0.00090785,             0.00090785
                     94,                0.89423,                0.94815,                 1.2164,                0.49273,                0.70087,                0.60562,                0.45884,                  0.845,                 1.5485,                 1.1406,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.8658,                0.89163,                 1.1793,                0.74463,                0.74754,                0.78755,                0.60803,                0.85448,                 0.9659,                 1.1309,             0.00089134,             0.00089134,             0.00089134
                     96,                0.92972,                0.96252,                 1.2227,                0.56025,                 0.6112,                0.56648,                0.41177,                 1.0607,                 1.5162,                 1.3382,             0.00088309,             0.00088309,             0.00088309
                     97,                0.87573,                0.88716,                 1.1969,                0.57896,                0.79923,                0.73272,                0.56192,                0.82083,                 1.1553,                 1.1485,             0.00087484,             0.00087484,             0.00087484
                     98,                0.92039,                0.91119,                 1.2033,                0.59127,                 0.8155,                 0.7075,                0.53387,                0.88259,                 1.1686,                   1.17,             0.00086659,             0.00086659,             0.00086659
                     99,                0.93272,                 1.0422,                 1.2588,                0.54371,                0.72321,                0.70392,                0.49161,                0.99479,                 1.3495,                 1.2452,             0.00085834,             0.00085834,             0.00085834
                    100,                0.89202,                 1.0085,                 1.2295,                0.48005,                0.74468,                0.56977,                0.40137,                0.97631,                 1.3398,                 1.2544,             0.00085009,             0.00085009,             0.00085009
                    101,                0.90959,                0.87631,                 1.2385,                0.52062,                0.62007,                0.55596,                 0.4129,                0.90593,                 1.6442,                 1.2049,             0.00084184,             0.00084184,             0.00084184
                    102,                0.87298,                0.95943,                 1.1819,                0.60443,                0.80036,                0.70741,                0.52582,                0.85291,                 1.2594,                 1.1792,             0.00083358,             0.00083358,             0.00083358
