                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.88612,                0.66808,                 1.0359,                0.73909,                0.70873,                0.76205,                0.50956,                 1.2118,                 1.0007,                 1.1534,             0.00029723,             0.00029723,             0.00029723
                     85,                0.87882,                0.67249,                 1.0377,                0.69823,                0.72099,                0.74916,                0.51041,                 1.2029,                 1.0161,                 1.1575,             0.00028072,             0.00028072,             0.00028072
                     86,                0.86228,                0.64484,                 1.0403,                0.71492,                0.68575,                0.73858,                 0.5088,                 1.2131,                 1.0385,                 1.1616,             0.00026422,             0.00026422,             0.00026422
                     87,                0.88325,                0.66108,                 1.0425,                0.70363,                 0.7035,                0.73792,                0.49927,                 1.2237,                 1.0352,                 1.1734,             0.00024772,             0.00024772,             0.00024772
                     88,                0.85443,                0.63594,                 1.0217,                0.69357,                0.68614,                0.72333,                0.49684,                 1.2309,                 1.0765,                 1.1754,             0.00023121,             0.00023121,             0.00023121
                     89,                0.86424,                 0.6617,                 1.0279,                0.72029,                0.68221,                0.73747,                 0.5114,                 1.1958,                 1.0196,                 1.1663,             0.00021471,             0.00021471,             0.00021471
                     90,                0.84425,                0.63164,                 1.0278,                0.72038,                0.67605,                0.73285,                0.51575,                 1.1804,                 1.0405,                  1.144,             0.00019821,             0.00019821,             0.00019821
                     91,                0.76271,                0.54095,                0.96012,                0.68861,                0.70927,                0.74476,                0.51276,                 1.1761,                 1.0251,                 1.1489,              0.0001817,              0.0001817,              0.0001817
                     92,                0.75036,                0.51582,                0.96699,                0.70413,                0.68886,                0.73478,                 0.5112,                  1.204,                 1.0161,                 1.1626,              0.0001652,              0.0001652,              0.0001652
                     93,                0.72749,                0.50702,                0.93803,                 0.7362,                0.68625,                 0.7415,                0.51457,                 1.1866,                0.99509,                 1.1481,              0.0001487,              0.0001487,              0.0001487
                     94,                0.72225,                0.48904,                0.93733,                 0.7005,                0.72862,                0.74447,                0.51125,                 1.2088,                 1.0051,                 1.1603,             0.00013219,             0.00013219,             0.00013219
                     95,                0.72385,                0.48663,                0.94444,                0.73346,                0.68165,                0.74745,                0.51634,                 1.1875,                0.99409,                 1.1498,             0.00011569,             0.00011569,             0.00011569
                     96,                0.71711,                0.49391,                0.93376,                 0.7579,                0.67261,                0.75013,                0.52059,                 1.1901,                0.99068,                 1.1517,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.7083,                0.48155,                 0.9433,                0.76219,                0.67639,                0.75038,                0.51752,                 1.1882,                 1.0044,                  1.151,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.69883,                0.46283,                0.91495,                0.72872,                0.69231,                0.74978,                0.52009,                  1.189,                 0.9955,                 1.1537,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.69532,                0.45984,                0.91857,                0.73606,                0.69334,                0.75377,                0.52565,                 1.1835,                 0.9956,                 1.1515,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.70513,                0.46786,                0.92806,                0.75337,                0.69848,                 0.7546,                0.52364,                 1.1775,                0.99716,                 1.1463,             3.3173e-05,             3.3173e-05,             3.3173e-05
